business_categories,city,review_count
"[Food, Desserts, Cupcakes, Bakeries]",Henderson,33
"[Food, Desserts, Arts & Entertainment, Casinos, Shopping]",Las Vegas,33
"[Food, Coffee & Tea]",Tempe,33
"[Food, Coffee & Tea]",Scottsdale,33
"[Food, Coffee & Tea]",Phoenix,33
"[Food, Coffee & Tea]",Montr�al,33
"[Food, Coffee & Tea]",Las Vegas,33
"[Food, Coffee & Tea]",Charlotte,33
"[Food, Coffee & Tea, Sandwiches, Restaurants]",Pittsburgh,33
"[Food, Coffee & Tea, Japanese, Restaurants]",Las Vegas,33
"[Food, Coffee & Tea, Cafes, Japanese, Restaurants]",Las Vegas,33
"[Food, Burgers, Donuts, Restaurants]",Las Vegas,33
"[Food, Books, Mags, Music & Video, Coffee & Tea, Shopping, Bookstores]",Charlotte,33
"[Food, Beer, Wine & Spirits]",Las Vegas,33
"[Food, Beer, Wine & Spirits, Nightlife, Dance Clubs]",Montreal,33
"[Food, Beer, Wine & Spirits, Grocery, Specialty Food]",Charlotte,33
"[Food, Beer, Wine & Spirits, Coffee & Tea, Cafes, Restaurants]",Fitchburg,33
"[Food, Beer, Wine & Spirits, Bars, Sports Bars, Nightlife]",Glendale,33
"[Food, Beer, Wine & Spirits, Bars, Nightlife, Wine Bars]",Charlotte,33
"[Food, Bakeries, Coffee & Tea, Breakfast & Brunch, Restaurants]",Las Vegas,33
"[Flowers & Gifts, Shopping, Florists]",Tempe,33
"[Financial Services, Hotels & Travel, Travel Services, Insurance]",Phoenix,33
"[Fast Food, Southern, Restaurants]",Phoenix,33
"[Fast Food, Restaurants]",Las Vegas,33
"[Fast Food, American (Traditional), Restaurants]",Verona,33
"[Fashion, Shopping, Used, Vintage & Consignment, Home & Garden, Antiques, Furniture Stores]",Phoenix,33
"[Fashion, Shopping, Luggage, Leather Goods, Shoe Repair, Local Services]",Las Vegas,33
"[Eyelash Service, Beauty & Spas]",Las Vegas,33
"[Eyelash Service, Beauty & Spas]",Henderson,33
"[Ethiopian, Restaurants]",Charlotte,33
"[Electronics, Shopping]",Phoenix,33
"[Doctors, Health & Medical, Obstetricians & Gynecologists]",Gilbert,33
"[Dive Bars, Bars, Nightlife]",Tempe,33
"[Dive Bars, Bars, American (Traditional), Nightlife, Restaurants]",Pittsburgh,33
"[Diners, Restaurants]",Sun Prairie,33
"[Delis, Sandwiches, Restaurants]",Charlotte,33
"[Day Spas, Beauty & Spas]",Scottsdale,33
"[Creperies, Asian Fusion, Hawaiian, Restaurants]",Henderson,33
"[Cosmetology Schools, Specialty Schools, Education]",Scottsdale,33
"[Computers, Shopping, Home & Garden, Appliances]",Surprise,33
"[Chinese, Restaurants]",Pittsburgh,33
"[Chinese, Restaurants]",Phoenix,33
"[Chinese, Restaurants]",North Las Vegas,33
"[Chinese, Restaurants]",Mesa,33
"[Chinese, Restaurants]",Madison,33
"[Chinese, Restaurants]",Las Vegas,33
"[Chinese, Restaurants]",Glendale,33
"[Chinese, Restaurants]",Chandler,33
"[Children's Clothing, Fashion, Shopping, Baby Gear & Furniture]",Scottsdale,33
"[Chicken Wings, Burgers, Sandwiches, Restaurants]",Charlotte,33
"[Champagne Bars, Bars, Nightlife]",Las Vegas,33
"[Champagne Bars, Bars, Nightlife, Dance Clubs]",Edinburgh,33
"[Caribbean, Restaurants]",Monona,33
"[Car Wash, Automotive]",Mesa,33
"[Car Stereo Installation, Automotive, Auto Customization]",Las Vegas,33
"[Canadian (New), Event Planning & Services, Venues & Event Spaces, Restaurants]",Montr�al,33
"[Burgers, Fast Food, Restaurants]",Chandler,33
"[Burgers, American (Traditional), Restaurants]",Monona,33
"[Burgers, American (New), Restaurants]",Scottsdale,33
"[Burgers, American (New), Hot Dogs, Restaurants]",Las Vegas,33
"[Breakfast & Brunch, Sandwiches, Restaurants]",Pittsburgh,33
"[Breakfast & Brunch, Restaurants]",Mesa,33
"[Breakfast & Brunch, Mexican, Restaurants]",Queen Creek,33
"[Breakfast & Brunch, Mexican, Chinese, Restaurants]",Phoenix,33
"[Breakfast & Brunch, Diners, Restaurants]",Pittsburgh,33
"[Breakfast & Brunch, Buffets, Diners, Restaurants]",Pittsburgh,33
"[Breakfast & Brunch, Bars, American (New), Nightlife, Restaurants]",Madison,33
"[Breakfast & Brunch, American (Traditional), Restaurants]",Phoenix,33
"[Books, Mags, Music & Video, Shopping, Bookstores]",Las Vegas,33
"[Beauty & Spas, Nail Salons]",Tempe,33
"[Beauty & Spas, Nail Salons]",Scottsdale,33
"[Beauty & Spas, Nail Salons]",Mesa,33
"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife]",Tempe,33
"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife]",Las Vegas,33
"[Bars, Pool Halls, Nightlife]",Las Vegas,33
"[Bars, Nightlife]",Las Vegas,33
"[Bars, Nightlife]",Edinburgh,33
"[Bars, Nightlife]",Charlotte,33
"[Bars, Nightlife, Restaurants]",Karlsruhe,33
"[Bars, Nightlife, Lounges]",Las Vegas,33
"[Bars, Nightlife, Karaoke]",Las Vegas,33
"[Bars, Music Venues, Arts & Entertainment, Dive Bars, Nightlife, Restaurants]",Las Vegas,33
"[Bars, Mexican, Nightlife, Karaoke, Restaurants]",Las Vegas,33
"[Bars, American (Traditional), Sports Bars, Nightlife, Chicken Wings, Restaurants]",Peoria,33
"[Barbers, Beauty & Spas]",Scottsdale,33
"[Barbeque, Restaurants]",Phoenix,33
"[Barbeque, Restaurants]",Madison,33
"[Barbeque, Restaurants]",Gilbert,33
"[Bakeries, Grocery, Shopping, Florists, Food, Flowers & Gifts]",Las Vegas,33
"[Bakeries, Food]",Mesa,33
"[Bakeries, Food]",Las Vegas,33
"[Bakeries, Food, Ice Cream & Frozen Yogurt]",Gilbert,33
"[Bakeries, Food, Cafes, Restaurants]",Gilbert,33
"[Bakeries, Food, Breakfast & Brunch, Sandwiches, Restaurants]",Phoenix,33
"[Automotive, Car Dealers]",Urbana,33
"[Automotive, Car Dealers]",Phoenix,33
"[Automotive, Car Dealers]",Las Vegas,33
"[Auto Repair, Automotive, Oil Change Stations]",Henderson,33
"[Asian Fusion, Chinese, Restaurants]",Las Vegas,33
"[Arts & Entertainment, Recreation Centers, Venues & Event Spaces, Arcades, Event Planning & Services, Active Life, Party & Event Planning]",Las Vegas,33
"[Arts & Entertainment, Performing Arts]",Las Vegas,33
"[Arts & Entertainment, Nightlife, Music Venues]",Phoenix,33
"[Arts & Entertainment, Music Venues, Venues & Event Spaces, Nightlife, Event Planning & Services, American (New), Restaurants]",Madison,33
"[Arts & Entertainment, Festivals]",Charlotte,33
"[Arts & Entertainment, Cinema]",Montr�al,33
"[Arts & Entertainment, Cinema]",Charlotte,33
"[Arts & Entertainment, Casinos]",Las Vegas,33
"[Arts & Entertainment, Bars, Nightlife, Music Venues, Sports Bars]",Scottsdale,33
"[American (Traditional), Steakhouses, Restaurants]",Pineville,33
"[American (Traditional), Restaurants]",Queen Creek,33
"[American (Traditional), Restaurants]",Edinburgh,33
"[American (Traditional), Restaurants]",Charlotte,33
"[American (Traditional), Restaurants]",Bridgeville,33
"[American (Traditional), Pizza, Gluten-Free, Restaurants]",Homestead,33
"[American (Traditional), Fast Food, Chicken Wings, Restaurants]",Las Vegas,33
"[American (New), Restaurants]",Phoenix,33
"[American (New), Restaurants]",Henderson,33
"[American (New), Restaurants]",Charlotte,33
"[Afghan, Restaurants]",Phoenix,33
"[Adult Entertainment, Nightlife]",Phoenix,33
"[Acupuncture, Day Spas, Health & Medical, Massage, Beauty & Spas]",Pittsburgh,33
"[Active Life, Yoga, Fitness & Instruction]",Phoenix,33
"[Active Life, Sporting Goods, Bikes, Shopping, Bike Rentals]",Tempe,33
"[Active Life, Skating Rinks, Amusement Parks]",Glendale,33
"[Active Life, Recreation Centers, Tennis, Swimming Pools]",Tempe,33
"[Active Life, Parks]",Las Vegas,33
"[Active Life, Hotels & Travel, Swimming Pools]",Las Vegas,33
"[Active Life, Gyms, Trainers, Fitness & Instruction]",Tempe,33
"[Active Life, Gyms, Trainers, Fitness & Instruction]",Pittsburg,33
"[Active Life, Gyms, Trainers, Fitness & Instruction]",Phoenix,33
"[Active Life, Gyms, Fitness & Instruction]",Henderson,33
"[Active Life, Gun/Rifle Ranges]",Mesa,33
"[Active Life, Day Spas, Beauty & Spas, Gyms, Fitness & Instruction]",Scottsdale,33
"[Active Life, Bowling]",Karlsruhe,33
"[Active Life, Amusement Parks]",Las Vegas,33
"[Wine Bars, Bars, Restaurants, Nightlife, Italian]",Pittsburgh,32
"[Wine Bars, Bars, Nightlife]",Montr�al,32
"[Wedding Planning, Event Planning & Services]",Las Vegas,32
"[Veterinarians, Pets]",Las Vegas,32
"[Tobacco Shops, Bars, Shopping, Nightlife, Lounges]",Montr�al,32
"[Women's Clothing, Department Stores, Fashion, Shopping, Men's Clothing]",Phoenix,32
"[Tattoo, Beauty & Spas]",Tempe,32
"[Sushi Bars, Japanese, Restaurants]",Mesa,32
"[Sushi Bars, Japanese, Restaurants]",Henderson,32
"[Sushi Bars, Japanese, Restaurants]",Charlotte,32
"[Steakhouses, Restaurants]",Montreal,32
"[Steakhouses, Restaurants]",Madison,32
"[Steakhouses, American (New), Restaurants]",Madison,32
"[Sporting Goods, Bikes, Shopping]",Edinburgh,32
"[Specialty Schools, Education, Public Services & Government, Flight Instruction]",Las Vegas,32
"[Specialty Food, Food, Caterers, Desserts, Event Planning & Services, Chocolatiers & Shops]",Charlotte,32
"[Southern, Greek, Mediterranean, Restaurants]",Charlotte,32
"[Skin Care, Hair Salons, Day Spas, Beauty & Spas]",Scottsdale,32
"[Shopping, Mobile Phones]",Las Vegas,32
"[Shopping, Jewelry, Beauty & Spas, Home & Garden, Cosmetics & Beauty Supply, Furniture Stores]",Las Vegas,32
"[Shopping, Cosmetics & Beauty Supply, Beauty & Spas]",Scottsdale,32
"[Shopping, Computers, Local Services, IT Services & Computer Repair, Professional Services, Web Design]",Tempe,32
"[Shopping Centers, Shopping]",Karlsruhe,32
"[Seafood, Steakhouses, Restaurants]",Pittsburgh,32
"[Seafood, Fish & Chips, Southern, Restaurants]",Mesa,32
"[Seafood, American (Traditional), Restaurants]",Peoria,32
"[Seafood, American (Traditional), Restaurants]",Mesa,32
"[Scottish, Restaurants]",Edinburgh,32
"[Sandwiches, Restaurants]",Mesa,32
"[Sandwiches, Restaurants]",Las Vegas,32
"[Sandwiches, Restaurants]",Henderson,32
"[Sandwiches, Restaurants]",Chandler,32
"[Restaurants, Turkish]",Montr�al,32
"[Restaurants, Italian]",Las Vegas,32
"[Restaurants, Italian]",Glendale,32
"[Restaurants, Italian]",Fitchburg,32
"[Restaurants, Italian]",Edinburgh,32
"[Restaurants, Italian]",Charlotte,32
"[Restaurants, Italian]",Champaign,32
"[Pubs, Bars, Nightlife]",Las Vegas,32
"[Pubs, Bars, Nightlife]",Edinburgh,32
"[Post Offices, Public Services & Government]",Phoenix,32
"[Portuguese, Fast Food, Chicken Wings, Restaurants]",Edinburgh,32
"[Plumbing, Local Services, Appliances & Repair, Home Services, Heating & Air Conditioning/HVAC]",Las Vegas,32
"[Plumbing, Home Services]",Mesa,32
"[Yelp Events, Local Flavor]",Phoenix,32
"[Pizza, Restaurants]",Tempe,32
"[Pizza, Restaurants]",Peoria,32
"[Pizza, Restaurants]",North Las Vegas,32
"[Pizza, Restaurants]",Las Vegas,32
"[Pizza, Restaurants]",Henderson,32
"[Pizza, Restaurants]",Chandler,32
"[Pizza, Bars, Restaurants, Sports Bars, Nightlife]",Las Vegas,32
"[Photo Booth Rentals, Photographers, Session Photography, Event Planning & Services, Event Photography]",Las Vegas,32
"[Pets, Pet Stores]",Henderson,32
"[Pet Services, Veterinarians, Pet Boarding/Pet Sitting, Pets]",Phoenix,32
"[Pet Services, Pets]",Phoenix,32
"[Pet Services, Pet Stores, Pet Boarding/Pet Sitting, Pets]",Las Vegas,32
"[Pet Services, Pet Groomers, Pets, Pet Stores, Pet Boarding/Pet Sitting]",Las Vegas,32
"[Pet Groomers, Pet Services, Pets]",Las Vegas,32
"[Pet Groomers, Pet Services, Pets, Pet Stores]",Las Vegas,32
"[Musical Instruments & Teachers, Shopping]",Mesa,32
"[Movers, Home Services]",Las Vegas,32
"[Mongolian, Restaurants]",Champaign,32
"[Mexican, Restaurants]",Tempe,32
"[Mexican, Restaurants]",Scottsdale,32
"[Mexican, Restaurants]",Phoenix,32
"[Mexican, Restaurants]",Montr�al,32
"[Mexican, Restaurants]",Mesa,32
"[Mexican, Restaurants]",Las Vegas,32
"[Mexican, Restaurants]",Goodyear,32
"[Mexican, Restaurants]",Fort Mill,32
"[Mexican, Restaurants]",Charlotte,32
"[Mexican, Restaurants]",Chandler,32
"[Mexican, Restaurants]",Avondale,32
"[Mattresses, Shopping, Home Decor, Home & Garden, Furniture Stores]",Phoenix,32
"[Massage Therapy, Health & Medical, Massage, Beauty & Spas]",Las Vegas,32
"[Libraries, Public Services & Government]",Pittsburgh,32
"[Korean, Restaurants]",Montr�al,32
"[Korean, Japanese, Restaurants]",Phoenix,32
"[Keys & Locksmiths, Home Services]",Phoenix,32
"[Jazz & Blues, Arts & Entertainment, Nightlife]",Montreal,32
"[Japanese, Restaurants]",Glendale,32
"[Italian, Pizza, Restaurants]",Pittsburgh,32
"[Italian, Pizza, Restaurants]",Henderson,32
"[Indian, Restaurants]",Phoenix,32
"[Indian, Restaurants]",Montr�al,32
"[Indian, Restaurants]",Madison,32
"[Indian, Restaurants]",Charlotte,32
"[Indian, Fast Food, Restaurants]",Edinburgh,32
[Hotels & Travel],Montreal,32
"[Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Hotels]",Madison,32
"[Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Hotels]",Las Vegas,32
"[Hotels & Travel, Event Planning & Services, Hotels]",Scottsdale,32
"[Hotels & Travel, Event Planning & Services, Hotels]",Montreal,32
"[Hotels & Travel, Event Planning & Services, Hotels]",Las Vegas,32
"[Hotels & Travel, Event Planning & Services, Hotels]",Edinburgh,32
"[Hotels & Travel, Event Planning & Services, Hotels]",Charlotte,32
"[Hotels & Travel, Campgrounds]",Las Vegas,32
"[Hotels & Travel, Bed & Breakfast, Event Planning & Services, Hotels]",Pittsburgh,32
"[Hot Dogs, Restaurants]",Charlotte,32
"[Home Cleaning, Home Services]",Phoenix,32
"[Health Markets, Food, Specialty Food]",Madison,32
"[Health & Medical, Dentists, General Dentistry, Cosmetic Dentists]",Chandler,32
"[Hawaiian, Restaurants]",Las Vegas,32
"[Hardware Stores, Building Supplies, Shopping, Home Services, Home & Garden]",Scottsdale,32
"[Hair Salons, Skin Care, Nail Salons, Beauty & Spas]",Phoenix,32
"[Hair Salons, Skin Care, Massage, Beauty & Spas]",Mesa,32
"[Hair Salons, Day Spas, Beauty & Spas]",Las Vegas,32
"[Hair Salons, Beauty & Spas]",Las Vegas,32
"[Hair Salons, Beauty & Spas, Nail Salons]",Scottsdale,32
"[Hair Salons, Beauty & Spas, Nail Salons]",Las Vegas,32
"[Greek, Restaurants]",Pittsburgh,32
"[French, Restaurants]",Montr�al,32
"[French, Restaurants]",Montreal,32
"[French, Restaurants]",Edinburgh,32
"[Food, Street Vendors, Sandwiches, Restaurants]",Madison,32
"[Food, Street Vendors, Food Stands, Restaurants]",Las Vegas,32
"[Food, Specialty Food]",Scottsdale,32
"[Food, Specialty Food, Candy Stores]",Tempe,32
"[Food, Seafood, Restaurants]",Las Vegas,32
"[Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants]",Phoenix,32
"[Food, Pretzels]",Las Vegas,32
"[Food, Patisserie/Cake Shop]",Edinburgh,32
"[Food, Juice Bars & Smoothies]",Scottsdale,32
"[Food, Ice Cream & Frozen Yogurt]",Las Vegas,32
"[Food, Ice Cream & Frozen Yogurt]",Charlotte,32
"[Food, Ice Cream & Frozen Yogurt, Shaved Ice, Desserts]",Phoenix,32
"[Food, Ice Cream & Frozen Yogurt, Coffee & Tea]",Scottsdale,32
"[Food, Grocery, Farmers Market]",Peoria,32
"[Food, Grocery, Convenience Stores]",Las Vegas,32
"[Food, Food Delivery Services, Mexican, Restaurants]",Phoenix,32
"[Food, Farmers Market]",Las Vegas,32
"[Food, Ethnic Food, Specialty Food, Sandwiches, Restaurants, Hot Dogs]",Mesa,32
"[Food, Desserts]",Glendale,32
"[Food, Desserts, Ice Cream & Frozen Yogurt]",Las Vegas,32
"[Food, Desserts, Coffee & Tea, Nightlife, Coffeeshops]",Las Vegas,32
"[Food, Department Stores, Grocery, Fashion, Shopping]",Scottsdale,32
"[Food, Department Stores, Grocery, Fashion, Shopping]",Phoenix,32
"[Food, Department Stores, Grocery, Fashion, Shopping]",Las Vegas,32
"[Food, Coffee & Tea]",Scottsdale,32
"[Food, Coffee & Tea]",Phoenix,32
"[Food, Coffee & Tea]",Mesa,32
"[Food, Coffee & Tea]",Las Vegas,32
"[Food, Coffee & Tea]",Karlsruhe,32
"[Food, Coffee & Tea]",Henderson,32
"[Food, Coffee & Tea]",Fountain Hills,32
"[Food, Coffee & Tea]",Charlotte,32
"[Food, Coffee & Tea]",Chandler,32
"[Food, Coffee & Tea, Sandwiches, Restaurants]",Pittsburgh,32
"[Food, Coffee & Tea, Sandwiches, Restaurants]",Madison,32
"[Food, Coffee & Tea, Restaurants, Italian]",Edinburgh,32
"[Food, Bubble Tea, Korean, Chicken Wings, Restaurants]",Pittsburgh,32
"[Food, Breweries, Nightlife]",Montr�al,32
"[Food, Beer, Wine & Spirits, Grocery]",Charlotte,32
"[Food, Beer, Wine & Spirits, Bars, Nightlife, Wine Bars]",Charlotte,32
"[Flowers & Gifts, Shopping, Florists]",Las Vegas,32
"[Fast Food, Southern, Restaurants]",Las Vegas,32
"[Fast Food, Mexican, Restaurants]",Peoria,32
"[Fast Food, Mexican, Restaurants]",Las Vegas,32
"[Fast Food, Mexican, Restaurants]",Henderson,32
"[Fashion, Shopping, Sporting Goods, Active Life, Golf, American (New), Sports Wear, Restaurants]",Scottsdale,32
"[Fashion, Shopping, Shoe Stores]",Las Vegas,32
"[Eyelash Service, Beauty & Spas, Hair Removal, Waxing, Nail Salons]",Charlotte,32
"[Event Planning & Services, Pizza, Caterers, Chicken Wings, Restaurants]",Fountain Hills,32
"[Event Planning & Services, Caterers, Caribbean, Dominican, Restaurants]",Charlotte,32
"[Dive Bars, Bars, Nightlife]",Goodyear,32
"[Diners, Restaurants]",Champaign,32
"[Departments of Motor Vehicles, Public Services & Government]",Glendale,32
"[Department Stores, Grocery, Fashion, Shopping, Drugstores, Food]",Las Vegas,32
"[Department Stores, Fashion, Shopping]",Las Vegas,32
"[Department Stores, Fashion, Shopping, Drugstores]",Scottsdale,32
"[Delis, Pizza, Restaurants]",Las Vegas,32
"[Delis, Fast Food, Sandwiches, Restaurants]",Phoenix,32
"[Delis, Fast Food, Sandwiches, Restaurants]",North Las Vegas,32
"[Day Spas, Beauty & Spas]",Scottsdale,32
"[Day Spas, Beauty & Spas]",Las Vegas,32
"[Country Dance Halls, Bars, Gay Bars, Nightlife, Dance Clubs]",Las Vegas,32
"[Chinese, Restaurants]",Tempe,32
"[Chinese, Restaurants]",Scottsdale,32
"[Chinese, Restaurants]",San Tan Valley,32
"[Chinese, Restaurants]",Phoenix,32
"[Chinese, Restaurants]",Las Vegas,32
"[Chinese, Restaurants]",Glendale,32
"[Chinese, Restaurants]",Charlotte,32
"[Chinese, Restaurants]",Champaign,32
"[Cheesesteaks, Sandwiches, Restaurants]",Tempe,32
"[Caterers, Event Planning & Services, Barbeque, Restaurants]",Pittsburgh,32
"[Canadian (New), Restaurants]",Montr�al,32
"[Canadian (New), Restaurants]",Montreal,32
"[Cafes, American (New), Restaurants]",Pittsburgh,32
"[Burmese, Restaurants]",Scottsdale,32
"[Burgers, Restaurants]",Scottsdale,32
"[Burgers, Restaurants]",Phoenix,32
"[Burgers, Restaurants]",Montr�al,32
"[Burgers, Hot Dogs, Restaurants]",Charlotte,32
"[Burgers, Fast Food, Sandwiches, Restaurants]",Charlotte,32
"[Burgers, Fast Food, Restaurants]",Mesa,32
"[Burgers, Diners, Restaurants]",Karlsruhe,32
"[Burgers, American (Traditional), Steakhouses, Restaurants]",Mesa,32
"[Burgers, American (Traditional), Sandwiches, Restaurants]",Gilbert,32
"[Buffets, Restaurants]",Las Vegas,32
"[Buffets, Restaurants]",Glendale,32
"[Buffets, Restaurants]",Charlotte,32
"[Buffets, Chinese, Restaurants]",Montr�al,32
"[Breakfast & Brunch, Restaurants]",Pittsburgh,32
"[Breakfast & Brunch, Restaurants]",Montreal,32
"[Breakfast & Brunch, Restaurants]",Las Vegas,32
"[Breakfast & Brunch, Persian/Iranian, Middle Eastern, Restaurants]",Montreal,32
"[Breakfast & Brunch, Latin American, Argentine, Restaurants]",Montreal,32
"[Breakfast & Brunch, American (Traditional), Restaurants]",Las Vegas,32
"[Books, Mags, Music & Video, Shopping]",Mesa,32
"[Beauty & Spas, Nail Salons]",Peoria,32
"[Beauty & Spas, Nail Salons]",Charlotte,32
"[Beauty & Spas, Hair Removal, Nail Salons]",Phoenix,32
"[Bars, Tapas Bars, Wine Bars, Nightlife, American (New), Restaurants]",Scottsdale,32
"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife]",Scottsdale,32
"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife]",Pittsburgh,32
"[Bars, Pool Halls, Food, Beer, Wine & Spirits, Nightlife, Sports Bars]",Phoenix,32
"[Bars, Nightlife]",Phoenix,32
"[Bars, Nightlife]",Charlotte,32
"[Bars, Nightlife, Lounges]",Pittsburgh,32
"[Bars, Nightlife, Lounges]",Montr�al,32
"[Bars, Mexican, Nightlife, Restaurants]",Charlotte,32
"[Bars, Dance Clubs, Nightlife, Lounges, American (New), Restaurants]",Phoenix,32
"[Bars, Cocktail Bars, Nightlife]",Karlsruhe,32
"[Bars, Arts & Entertainment, Nightlife, Music Venues]",Las Vegas,32
"[Bars, American (Traditional), Nightlife, Restaurants]",Scottsdale,32
"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",Las Vegas,32
"[Bars, American (New), Nightlife, Restaurants]",Madison,32
"[Barbers, Beauty & Spas]",Phoenix,32
"[Bakeries, Food]",Las Vegas,32
"[Bakeries, Food]",Henderson,32
"[Bakeries, Food]",Charlotte,32
"[Bakeries, Food, Gluten-Free, Vegan, Restaurants]",Pittsburgh,32
"[Automotive, Windshield Installation & Repair, Auto Glass Services]",Mesa,32
"[Automotive, Gas & Service Stations]",Las Vegas,32
"[Auto Repair, Automotive]",Las Vegas,32
"[Auto Repair, Automotive, Tires]",Las Vegas,32
"[Asian Fusion, Japanese, Chinese, Restaurants]",Fort Mill,32
"[Arts & Entertainment, Performing Arts, Nightlife, Music Venues]",Las Vegas,32
"[Arts & Entertainment, Nightlife, Music Venues]",Las Vegas,32
"[Arts & Entertainment, Festivals]",Phoenix,32
"[Arts & Entertainment, Cinema]",Tempe,32
"[Arts & Entertainment, Cinema]",Mesa,32
"[Arts & Entertainment, Cinema]",Las Vegas,32
"[Arts & Entertainment, Art Galleries, Shopping, Education, Art Classes]",Phoenix,32
"[American (Traditional), Restaurants]",Pittsburgh,32
"[American (Traditional), Restaurants]",Las Vegas,32
"[American (Traditional), Restaurants]",Glendale,32
"[American (Traditional), Restaurants]",Gilbert,32
"[American (Traditional), Restaurants]",Cave Creek,32
"[American (New), Restaurants]",Pittsburgh,32
"[American (New), Restaurants]",Phoenix,32
"[American (New), Restaurants]",Las Vegas,32
"[Active Life, Yoga, Fitness & Instruction]",Scottsdale,32
"[Active Life, Yoga, Fitness & Instruction]",Pittsburgh,32
"[Active Life, Parks]",Las Vegas,32
"[Active Life, Hotels & Travel, Tours, Lakes]",Apache Junction,32
"[Active Life, Gyms, Trainers, Fitness & Instruction]",Peoria,32
"[Active Life, Gyms, Trainers, Fitness & Instruction]",Las Vegas,32
"[Active Life, Gyms, Trainers, Fitness & Instruction]",Chandler,32
"[Active Life, Gyms, Fitness & Instruction]",Scottsdale,32
"[Active Life, Gyms, Fitness & Instruction]",Las Vegas,32
"[Active Life, Golf]",Scottsdale,32
"[Active Life, Golf]",Phoenix,32
"[Active Life, Golf]",Las Vegas,32
"[Active Life, Golf, Event Planning & Services, Venues & Event Spaces]",Henderson,32
"[Active Life, Dog Parks, Parks]",Las Vegas,32
"[Active Life, Bowling]",Scottsdale,32
"[Veterinarians, Pets]",Las Vegas,31
"[Yelp Events, Local Flavor]",Charlotte,31
"[Women's Clothing, Used, Vintage & Consignment, Fashion, Shopping, Men's Clothing]",Mesa,31
"[Women's Clothing, Department Stores, Fashion, Shopping, Men's Clothing]",Henderson,31
"[Videos & Video Game Rental, Books, Mags, Music & Video, Shopping]",Phoenix,31
"[Veterinarians, Pets]",Pittsburgh,31
"[Vegetarian, Restaurants]",Montreal,31
"[Tree Services, Home Services]",Phoenix,31
"[Tires, Automotive]",Las Vegas,31
"[Thai, Restaurants]",Bellevue,31
"[Thai, Cafes, Restaurants]",Pittsburgh,31
"[Thai, Asian Fusion, Restaurants]",Chandler,31
"[Tex-Mex, Restaurants]",Matthews,31
"[Tex-Mex, Restaurants]",Las Vegas,31
"[Tanning, Beauty & Spas]",Henderson,31
"[Szechuan, Chinese, Restaurants]",Phoenix,31
"[Sushi Bars, Japanese, Restaurants]",Edinburgh,31
"[Sushi Bars, Japanese, Restaurants]",Chandler,31
"[Sushi Bars, Japanese, Restaurants]",Champaign,31
"[Sushi Bars, Buffets, Chinese, Restaurants]",Charlotte,31
"[Steakhouses, Seafood, American (Traditional), Restaurants]",Las Vegas,31
"[Steakhouses, Restaurants]",Madison,31
"[Steakhouses, American (Traditional), Restaurants]",Phoenix,31
"[Sporting Goods, Shopping, Outdoor Gear]",Phoenix,31
"[Specialty Food, Food, Cafes, Chocolatiers & Shops, Desserts, Restaurants]",Montr�al,31
"[Spanish, Steakhouses, Restaurants]",Tempe,31
"[Skin Care, Hair Salons, Hair Removal, Beauty & Spas]",Phoenix,31
"[Skin Care, Hair Removal, Beauty & Spas]",Champaign,31
"[Skin Care, Day Spas, Massage, Beauty & Spas]",Phoenix,31
"[Skin Care, Day Spas, Beauty & Spas, Nail Salons]",Las Vegas,31
"[Shopping, Vape Shops]",Tempe,31
"[Shopping, Sporting Goods, Bike Rentals, Local Services, Bikes, Active Life, Bike Repair/Maintenance]",Tempe,31
"[Shopping, Nurseries & Gardening, Home & Garden]",Las Vegas,31
"[Shopping, Jewelry]",Las Vegas,31
"[Shopping, Drugstores, Beauty & Spas, Food, Convenience Stores, Cosmetics & Beauty Supply]",Phoenix,31
"[Shopping, Antiques]",Phoenix,31
"[Seafood, Restaurants]",Las Vegas,31
"[Seafood, Restaurants]",Edinburgh,31
"[Seafood, Fish & Chips, Sandwiches, Restaurants]",Phoenix,31
"[Sandwiches, Restaurants]",Phoenix,31
"[Sandwiches, Restaurants]",Madison,31
"[Sandwiches, Restaurants]",Las Vegas,31
"[Restaurants, Pizza, Italian]",Charlotte,31
"[Restaurants, Italian]",Phoenix,31
"[Restaurants, Italian]",Madison,31
"[Restaurants, Italian]",Edinburgh,31
"[Restaurants, Italian]",Concord,31
"[Resorts, Party & Event Planning, Event Planning & Services, Venues & Event Spaces, Hotels & Travel]",Charlotte,31
"[Resorts, Hotels & Travel]",Las Vegas,31
"[Pubs, Dive Bars, Bars, Nightlife]",Phoenix,31
"[Pubs, Bars, Sports Bars, Nightlife]",Scottsdale,31
"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",Las Vegas,31
"[Pool Halls, Nightlife]",Las Vegas,31
"[Pizza, Restaurants]",Pittsburgh,31
"[Pizza, Restaurants]",Peoria,31
"[Pizza, Restaurants]",Mesa,31
